label,q_file_success,qc_file_success,qubits,cx,h,s,sdg,cz,x,z,t,tdg,rx0.8,ccx,rz2,measure,clifford
clifford__clifford-0,True,True,62,9373,7658,7349,716,702,15,8,0,0,0,0,0,0,25821
clifford_t__clifford-0,True,True,62,8233,6764,6685,728,640,13,6,2528,0,0,0,0,0,23069
clifford_t__cx_t-0,True,True,62,12116,2533,2770,595,0,0,296,7968,1169,0,0,0,0,18310
clifford_t__cx_t__twice-0,True,True,62,12190,2515,3408,86,0,0,171,9008,32,0,0,0,0,18370
clifford_t__h_cz_rx-0,True,True,62,7178,2572,2742,601,5038,0,312,2929,1184,5012,0,0,0,18443
clifford_t__h_cz_rx__twice-0,True,True,62,7155,2629,3411,89,5084,0,174,4105,31,4945,0,0,0,18542
ccx_h__clifford-0,True,True,62,9623,8569,3134,578,395,26,9,0,0,0,5049,0,0,22334
ccx_h__cx_t-0,True,True,62,9690,5010,238,628,0,0,271,5441,1117,0,4990,0,0,15837
ccx_h__cx_t__twice-0,True,True,62,9598,5047,877,75,0,0,182,6671,35,0,4953,0,0,15779
rz_h__cx-0,False,True,62,10476,5056,0,0,0,0,0,0,0,0,0,4944,0,15532
rz_h__cx__twice-0,False,True,62,10464,4954,0,0,0,0,0,0,0,0,0,5046,0,15418
measure_ghz-0,False,False,62,12200,100,0,0,0,0,0,0,0,0,0,0,100,12300
clifford__clifford-1,True,True,62,9315,7598,7448,754,645,19,7,0,0,0,0,0,0,25786
clifford_t__clifford-1,True,True,62,8428,6905,6531,717,608,15,8,2533,0,0,0,0,0,23212
clifford_t__cx_t-1,True,True,62,12226,2426,2768,604,0,0,303,7917,1164,0,0,0,0,18327
clifford_t__cx_t__twice-1,True,True,62,12252,2546,3347,81,0,0,149,9034,45,0,0,0,0,18375
clifford_t__h_cz_rx-1,True,True,62,7187,2603,2831,582,5054,0,317,2860,1209,4982,0,0,0,18574
clifford_t__h_cz_rx__twice-1,True,True,62,7123,2669,3365,85,5005,0,170,4076,32,5023,0,0,0,18417
